地名,センター（center.csvを使わない場合は空白化）,燃やせるごみ,破砕ゴミ（有害ごみ）,プラスチック容器包装,缶・びん・ペットボトル,紙・布
新番丁,クリーンセンター,月 木,金2 金４,水,火1 火3,火2 火4
亀阜,クリーンセンター,月 木,金2 金4,木,火1 火4,火2 火4
庵治,クリーンセンター,月 木,金2 金４,水,火1 火3,火2 火4
牟礼北部,クリーンセンター,月 木,金2 金4,木,火1 火4,火2 火4
高松第一（松島・築地・新塩屋町）,クリーンセンター,火 金,金2 金4,水,木1 木3,木2 木4
花園,クリーンセンター,火 金,金2 金4,水,木1 木3,木2 木4
新番丁（四番丁）,クリーンセンター,火 金,金2 金4,水,木1 木3,木2 木4
塩江,クリーンセンター,火 金,金2 金4,水,木1 木3,木2 木4
栗林,クリーンセンター,月 木,金1 金3,水,火2 火4,火1 火3
太田,クリーンセンター,月 木,金1 金3,水,火2 火4,火1 火3
香川（浅野）,クリーンセンター,月 木,金1 金3,水,火2 火4,火1 火3
鶴尾,クリーンセンター,月 木,火1 火3,水,金2 金4,金1 金3
一宮,クリーンセンター,月 木,火1 火3,水,金2 金4,金1 金3
円座,クリーンセンター,月 木,火1 火3,水,金2 金4,金1 金3
川岡,クリーンセンター,月 木,火1 火3,水,金2 金4,金1 金3
香川（川東）,クリーンセンター,月 木,月1 月3,水,木2 木4,木1 木3
木太,クリーンセンター,月 木,月1 月3,水,木2 木4,木1 木3
林,クリーンセンター,月 木,月1 月3,水,木2 木4,木1 木3
多肥,クリーンセンター,月 木,月1 月3,水,木2 木4,木1 木3
国分寺南部,クリーンセンター,月 木,月1 月3,水,木2 木4,木1 木3
屋島,クリーンセンター,火 金,木2 木4,水,月1 月3,月2 月4
檀紙,クリーンセンター,月 木,火2 火4,水,金1 金3,金2 金4
弦打,クリーンセンター,月 木,火2 火4,水,金1 金3,金2 金4
香西,クリーンセンター,月 木,火2 火4,水,金1 金3,金2 金4
鬼無,クリーンセンター,月 木,火2 火4,水,金1 金3,金2 金4
下笠居,クリーンセンター,月 木,火2 火4,水,金1 金3,金2 金4
国分寺北部,クリーンセンター,火 金,木1 木3,水,月2 月4,月1 月3
前田,クリーンセンター,火 金,木1 木3,水,月2 月4,月1 月3
三谷,クリーンセンター,火 金,木1 木3,水,月2 月4,月1 月3
川添,クリーンセンター,火 金,木1 木3,水,月2 月4,月1 月3
十河,クリーンセンター,火 金,木1 木3,水,月2 月4,月1 月3
西植田,クリーンセンター,火 金,木1 木3,水,月2 月4,月1 月3
東植田,クリーンセンター,火 金,木1 木3,水,月2 月4,月1 月3
香南,クリーンセンター,火 金,木1 木3,水,月2 月4,月1 月3
香川（大野）,クリーンセンター,火 金,木1 木3,水,月2 月4,月1 月3
